Id,Code,Name,NewSectorName,NewSubSectorName,NewIndustryName,NewSubIndustryName,SectorName,SubSectorName,BoardRecording,HeadOffice,Phone,RepresentativeName,WebsiteUrl,Address,TotalEmployees,ExchangeAdministration,Npwp,Npkp,IsActive,ListingDate,AnnualDividend,GeneralInformation,Fax,FoundingDate,CompanyEmail

126,BTPN,Bank BTPN Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta Selatan,021-300 26 200,Anika Faisal // anika.faisal@btpn.com // 021 - 300 26 200,www.btpn.com,Menara BTPN CBD Mega Kuningan Lantai 29 Jl. Dr. IDe Anak Agung Gde Agung Kav. 5.5-5.6,5237,-,01.139.179.3-422.000,-,True,12 Mar 2008,0.0,"PT Bank BTPN Tbk (IDX: BTPN) merupakan bank devisa hasil penggabungan usaha PT Bank Tabungan Pensiunan Nasional Tbk (BTPN) dengan PT Bank Sumitomo Mitsui Indonesia (SMBCI). Bank BTPN memfokuskan diri untuk melayani segmen mass market yang terdiri dari para pensiunan, pelaku usaha mikro, kecil, dan menengah (UMKM), komunitas prasejahtera produktif; segmen consuming class; serta segmen korporasi. Pada 11 Agustus 2016 merilis aplikasi Jenius yang mendisrupsi industri bank. Layanan digital banking ini muncul bahkan 2 tahun sebelum aturandigital banking muncul, dan beberapa bulan sebalum ada panduan tentang ""kantor digital"". Perusahaan resmi listing di BEI pada tanggal 12 Maret 2008 dan.",021-300 26 309,16 February 1985,corporate.secretary@btpn.com

1016,BTPS,Bank BTPN Syariah Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta Selatan,(021) 3002 6400,Arief Ismail // corsec@btpnsyariah.com // (021) 3002 6400,www.btpnsyariah.com,"Menara BTPN Lantai 12, CBD Mega Kuningan Jl. DR. Ide Anak Agung Gde Agung Kav. 5.5 � 5.6 Jakarta Selatan 12950",-,PT. Datindo Entrycom,-,-,True,08 Mei 2018,0.0,"PT Bank BTPN Syariah Tbk (IDX: BTPS) adalah anak usaha PT Bank BTPN Tbk (IDX: BTPN) selaku pengendali (70%) dan merupakan bank syariah ke-12 di Indonesia. Bank beroperasi berdasarkan prinsip inklusi keuangan dengan menyediakan produk dan jasa keuangan kepada masyarakat terpencil yang belum terjangkau serta segmen masyarakat pra sejahtera. Perusahaan resmi listing di BEI pada tanggal 08 Mei 2018 dan beralamat kantor di Menara BTPN, Lt. 12 - CBD Mega Kuningan, Jl. Dr. Ide Anak Agung Gde Agung, Kav. 5. 5 - 5. 6 Jakarta Selatan 12950.",(021) 2927 2096,7-Maret-1991,corsec@btpnsyariah.com

1263,BUAH,Segar Kumala Indonesia Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,"TRADE, SERVICES, & INVESTMENT",Retail Trade,2,"Jl. Danau Sunter Utara No.8 Sunter Jaya, Tanjung Priok, Jakarta Utara. 14450",021 65831288,Fabian Mardi // info@sk-indonesia.com // 021-65831288,https://sk-indonesia.com/,"Jl. Pegangsaan Dua KM. 4 No.89. Pegangsaan Dua, Kelapa Gading, Jakarta Utara. 14250",181,PT. Adimitra Jasa Korpora.,82.412.831.8-048.000,-,True,09-Aug-2022,0.0,"PT Segar Kumala Indonesia Tbk (IDX: BUAH), didirikan pada tahun 2017, Perseroan bergerak di bidang Perdagangan Besar Buah-buahan dan Daging Unggas Beku. Perseroan memulai bisnis perdagangan dan distribusi buah-buahan segar di daerah Jakarta dan sekitarnya dengan merk SK. Kini, Perseroan telah memiliki 9 (sembilan) cabang distribusi yang tersebar di seluruh Indonesia. Adapun Perseroan mendapatkan supply atas produk Buah-buahan dan Daging Unggas Beku dari Asia, Amerika, Eropa dan Timur Tengah yang memiliki kualitas dan mutu terbaik. Perseroan resmi listing di BEI pada tanggal 09 Agustus 2022 dan beralamat di Jl. Pegangsaan Dua KM. 4 No.89. Pegangsaan Dua, Kelapa Gading, Jakarta Utara. 14250",-,10-Juni-2017,info@sk-indonesia.com

127,BUDI,Budi Starch & Sweetener Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,CONSUMER GOODS INDUSTRY,Food & Beverages,1,Jakarta Selatan,021-5213383,Alice Yuliana // alice.yuliana@sungaibudi.com // 021-5213383,http://www.budistarchsweetener.com,Wisma Budi Lantai 8-9. Jl H.R.Rasuna Said Kav C6,3716,PT. Sinartama Gunita,01.221.127.2-054.000,-,True,08 Mei 1995,0.0,"PT Budi Starch & Sweetener Tbk (IDX: BUDI) adalah perusahaan yang bergerak dalam bidang pembuatan bahan kimia dan produk makanan, termasuk produk turunan yang dihasilkan dari singkong, ubi jalar, kelapa sawit, kopra dan produk pertanian lainnya dan industri lainnya khususnya industri plastik. Saat ini, perusahaan bergerak di bidang pembuatan dan penjualan tepung tapioka, pemanis (glukosa, fruktosa, sorbitol dan maltodextrine), kemasan plastik, asam sulfat dan bahan kimia lainnya. Perusahaan mulai beroperasi secara komersial pada bulan Januari 1981. Perusahaan beroperasi di bawah kelompok usaha Sungai Budi. Adapun sebagai pengendali saat ini adalah PT Budi Delta Swakarya (31, 146 %). Perusahaan resmi listing di BEI pada tanggal 08 Mei 1995 dan beralamat di Wisma Budi Lantai 8-9. Jl H. R. Rasuna Said Kav C6.","021-5213339, 5213392",15 January 1975,mawarti.wongso@budistarchsweetener.com

1199,BUKA,Bukalapak.com Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,"TRADE, SERVICES, & INVESTMENT",Computer And Services,4,"Metropolitan Tower, Lantai 22 Jalan Raden Adjeng Kartini, Kav. 14 Jakarta Selatan 12440",02150982008,Perdana Arning Saputro // corsec@bukalapak.com // 02150982008,https://www.bukalapak.com/,-,-,PT. Datindo Entrycom,03.118.364.3-014.000,-,True,06-Aug-2021,0.0,"PT PT Bukalapak. com Tbk (IDX: BUKA) berdiri sejak tahun 2010 dan merupakan salah satu e-commerce unicorn di Indonesia. Perusahaan dan anak usaha bergerak di bidang E-Commerce, Teknologi, Platform Online & Offline. Hingga saat ini, Bukalapak telah melayani lebih dari 6 juta Pelapak, 7 juta Mitra Bukalapak dan 94 juta pengguna. Perusahaan resmi listing di BEI pada tanggal 06 Agustus 2021 dan beralamat kantor di Metropolitan Tower, Lantai 22 Jalan Raden Adjeng Kartini, Kav. 14 Jakarta Selatan 12440.",-,2010,corsec@bukalapak.com

128,BUKK,Bukaka Teknik Utama Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION",Non Building Construction,2,Jawa Barat,021 8232323 (hunting),Teguh Wicaksana Sari // corpsec@bukaka.com // 021-823-2323,http://www.bukaka.com,"Bukaka Industrial Estate Jl. Raya Narogong - Bekasi Km. 19,5  Limusnunggal, Cileungsi, Bogor, Jawa Barat 16820 Bogor 16820",-,PT BSR Indonesia,01.315.811.8-054.000,-,True,29 Jun 2015,0.0,"PT Bukaka Teknik Utama Tbk (IDX: BUKK) adalah Perusahaan yang bergerak dalam bidang pembuatan dan penyediaan peralatan Khusus dan usaha lainnya yang termasuk dalam industri konstruksi. Perusahaan konstruksi ini menghasilkan garbarata, jembatan, dan infrastruktur lain penunjang pertambangan. Adapun garbarata merupakan salah satu produk unggulanekspor perusahaan dengan tujuan utama, antara lain; Jepang, India dan Thailand. Perusahaan juga memiliki entitas anak yang bergerak di Industri Perdagangan, Jasa, Perindustrian, Pembangunan, Pertanian, dan Pertambangan. Perusahaan resmi.",021 8231150,1978,corpsec@bukaka.com

129,BULL,Buana Lintas Lautan Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION",Transportation,1,Jakarta,6221 - 30485700,Natassha Yunita // investor@bull.co.id // 6221 - 30485700,www.bull.co.id,"Jalan Mega Kuningan Timur Blok C.6 Kav.12A  Kawasan Mega Kuningan  Jakarta Selatan 12950",-,PT. Ficomindo Buana Registrar,02.466.873.3-073.000,-,True,23 Mei 2011,0.0,"PT Buana Lintas Lautan Tbk (IDX: BULL) adalah perusahaan yang bergerak dalam bidang pelayaran lokal dan luar negeri, namun tidak terbatas pada kapal tanker, kapal tongkang dan kapal penarik. Perusahaan mulai beroperasi secara komersial pada tahun 2005. Perusahaan resmi listing di BEI pada tanggal 23 Mei 2011 dan beralamat kantor di Jalan Mega Kuningan Timur Blok C. 6 Kav. 12A Kawasan Mega Kuningan Jakarta Selatan 12950.",6221 - 30485701,12 May 2005,investor@bull.co.id

130,BUMI,Bumi Resources Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,2,Jakarta,(021) 57942080,Dileep Srivastava // dileep@bumiresources.com // 021- 5794 2080,http://www.bumiresources.com,"Bakrie Tower, Lt. 12  Complex Rasuna Epicentrum  Jl. H.R. Rasuna Said  Jakarta 12960",6997,PT. Ficomindo Buana Registrar,01.122.101.7-054.000,-,True,30 Jul 1990,0.0,"PT Bumi Resources Tbk (IDX: BUMI) didirikan pada tanggal 26 Juni 1973. Ruang lingkup kegiatan Perusahaan meliputi eksplorasi dan eksploitasi kandungan batubara (termasuk pertambangan dan penjualan batubara) dan eksplorasi minyak. Saat ini, Perseroan merupakan entitas induk dari anak perusahaan yang bergerak di bidang aktivitas pertambangan. Perusahaan tergabung dalam kelompok usaha Bakrie. Adapun perusahaan resmi listing di BEI pada tanggal 30 Juli 1990 dan beralamat di Bakrie Tower, Lt. 12 Complex Rasuna Epicentrum Jl. H. R. Rasuna Said Jakarta 12960.",021- 57942070,26 June 1973,dileep@bumiresources.com

131,BUVA,Bukit Uluwatu Villa Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar","TRADE, SERVICES, & INVESTMENT","Restaurant, Hotel And Tourism",2,Jakarta Selatan,Kantor Cabang: 021-75924475,Benita Sofia // benita.sofia@buvagroup.com // 02175924475,www.buvagroup.com,"Kantor Cabang : Talavera Office Park, Lantai 12, Jl. TB Simatupang Kav. 22-26, Cilandak, Jak - Sel",-,PT. EDI Indonesia,02.097.827.6-904.000,-,True,12 Jul 2010,0.0,"PT Bukit Uluwatu Villa Tbk (IDX: BUVA) merupakan pengembang hotel dan resort ramah lingkungan. Perusahaan berdomisili di Badung, Bali. Perusahaan ini merupakan pemilik Hotel Alila Ubud yang telah beroperasi secara komersial sejak Desember 1996 dan berlokasi di Desa Melinggih Kelod Payangan, Ubud, Gianyar, Bali dan Alila Villas Uluwatu yang telah beroperasi secara komersial sejak Juni 2009 dan berlokasi di Pecatu, Bali. Perusahaan resmi listing di BEI pada tanggal 12 Juli 2010 dan beralamat kantor pusat di Gedung Sequis Center, Lantai 9, Jl. Jend. Sudirman No. 71, Senayan, Jakarta Selatan 12190.",Kantor Cabang: 021-75924476,15 December 2000,corsec@buvagroup.com

132,BVIC,Bank Victoria International Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta Pusat,021-5228888,Ruly Dwi Rahayu // corsec@victoriabank.co.id // 021 7278 1800,www.victoriabank.co.id,"Graha BIP Lantai 10, Jl. Gatot Subroto Kav. 23, Jakarta",305,-,01.592.025.9-054.000,-,True,30 Jun 1999,0.0,"PT Bank Victoria International Tbk (IDX: BVIC) adalah perusahaan yang bergerak dalam bidang usaha perbankan komersial sesuai dengan peraturan yang berlaku. Bank Victoria merupakan bank devisa di kelompok usaha BUKU II. Bank mulai beroperasi secara komersial pada tanggal 5 Oktober 1994. Pada tahun 2007, Bank Victoria mengakuisisi 99, 80% saham Bank Swaguna guna memperkokoh ekspansi usaha. Akuisisi ini menjadikan Bank Swaguna sebagai Entitas Anak Bank Victoria. Kemudian, Bank Swaguna berubah nama menjadi PT Bank Victoria Syariah pada 19 Januari 2010 dan mulai melakukan kegiatan usaha bank umum dengan prinsip syariah sejak tanggal 1 April 2010. Perusahaan resmi listing di BEI pada tanggal 30 Juni 1999 dan beralamat kantor di Graha BIP Lantai 10, Jl. Gatot Subroto Kav. 23, Jakarta.",021-5228777,28 October 1992,corsec@victoriabank.co.id

133,BWPT,Eagle High Plantations Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,AGRICULTURE,Plantation,1,Jakarta,021 29783093,Satrija Budi Wibawa // satrija@eaglehighplantations.com // +62 21 2978 3093,www.eaglehighplantations.com,"Noble House Lt. 12 Jl. Dr. Ide Anak Agung Gde Agung Kav. E 4.2, No. 2 Jakarta 12950",292,PT BSR Indonesia,01.882.908.5-057.000,-,True,27 Okt 2009,0.0,"PT Eagle High Plantations Tbk (IDX: BWPT) adalah perusahaan perkebunan terintegrasi yang menjadi bagian dari unit bisnis Rajawali Group. Saat ini, perusahaan bergerak di bidang industri dan perkebunan kelapa sawit dengan minyak sawit mentah dan inti sawit sebagai produk utama. Total luas perkebunan saat ini adalah 116. 000 hektar dan berlokasi di Sumatra, Kalimantan, dan Papua. Perusahaan ini berkomitmen membangun bisnis perkebunan yang memenuhi seluruh regulasi, ramah lingkungan, serta memberi nilai tambah dan keuntungan bagi masyarakat di sekitarnya. Perusahaan resmi listing di BEI pada tanggal 27 Oktober 2009 dan beralamat kantor di Noble House Lt. 12 Jl. Dr. Ide Anak Agung Gde Agung Kav. E 4. 2, No. 2 Jakarta 12950.","021 29783081, 29783082",06 November 2000,corsec@eaglehighplantations.com

134,BYAN,Bayan Resources Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,1,Jakarta Selatan,021-2935 6888,Jenny Quantero // jenny.kwan@bayan.com.sg,www.bayan.com.sg,"Gedung Office 8, Lantai 37  Sudirman Central Business Distrik (SCBD) lot 28  Jl. Jenderal Sudirman kav. 52-53  Jakarta  12950  Indonesia",61,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,02.433.110.0-062.000,-,True,12 Agt 2008,0.0,"PT Bayan Resources Tbk (IDX: BYAN) adalah produsen batu bara di Indonesia, yang berlokasi di Kalimantan Timur dan Selatan. Perusahaan ini merupakan unit bisnis Bayan Group yang dimiliki Dato’ Dr. Low Tuck Kwong, yang memproduksi batu bara, mulai dari batu bara kokas semi lunak hingga batu bara sulfur ramah lingkungan, batu bara sub-bituminous. Perusahaan ini didukung oleh anak perusahaannya yang juga bergerak di bidang pertambangan batu bara. Bayan Group sendiri memiliki beberapa infrastruktur batu bara terdepan di Indonesia dengan kepemilikan atas Balikpapan Coal Terminal, Dermaga Perkasa dan Wahana, serta dua Floating Transfer Barge (KFT). Perusahaan resmi listing di BEI pada tanggal 12 Agustus 2008 dan beralamat kantor di Gedung Office 8, Lantai 37 Sudirman Central Business Distrik (SCBD) lot 28 Jl. Jenderal Sudirman kav. 52-53 Jakarta 12950.",021-2935 6999,07 October 2004,corporate.secretary@bayan.com.sg

1055,CAKK,Cahayaputra Asa Keramik Tbk.,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,BASIC INDUSTRY AND CHEMICALS,"Ceramics, Glass, Porcelain",2,Ruko Golden Centrum Jl. Majapahit No. 26 I Jakarta Pusat 10160,(021) 350 9153,Juli Berliana Posman // juliberliana@hotmail.com // (021) 350 9153,kaisar-ceramics.com,"Ruko Golden Centrum  Jl. Majapahit No. 26 I Jakarta Pusat 10160",-,PT. Ficomindo Buana Registrar,01.686.333.4-028.000,-,True,31 Okt 2018,0.0," PT Cahayaputra Asa Keramik Tbk (IDX: CAKK) adalah perusahaan pertama yang memproduksi Glazed Porcelain Tile (Gress Porcellanato) di Indonesia. Perusahaan bergerak di bidang material & industri keramik dan telah menyalurkan produk ubin (lantai dan dinding) ke mancanegara, seperti: Eropa, AS, Kanada, Australia, Selandia Baru, Afrika dan beberapa negara Asia. Perusahaan resmi listing di BEI pada tanggal 31 Oktober 2018 dan beralamat kantor di Belleza Office Tower Lt. 21 Unit 01 - 02, Jl. Letjen. Soepeno No. 34, Kebayoran Lama, Jakarta Selatan 12210.",(021) 350 9154/ 8523,-,kaisar@indo.net.id

1004,CAMP,Campina Ice Cream Industry Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,CONSUMER GOODS INDUSTRY,Food & Beverages,2,Jawa Timur,(031) 843-2247,Arif Harmoko Rayadi // corsec@campina.co.id // 031-8432247,www.campina.co.id,"Jl. Rungkut Industri II/ 15-17 Surabaya,RT.002 RW.006 Kel. Tenggilis Mejoyo Kec. Tenggilis Mejoyo, Surabaya",,PT. Adimitra Jasa Korpora,01.722.741.4-631.000,,True,19 Des 2017,0.0,"PT Campina Ice Cream Industry Tbk (IDX: CAMP) adalah produsen es krim dengan merek ""Campina"" yang didirikan oleh Bapak Darmo Hadipranoto pada tahun 1972. Campina merupakan satu-satunya pemegang lisensi produk eskrim SpongeBob SquarePants dan Avatar: The Legend of Aang di Asia Tenggara berkat kerja sama dengan Nickelodeon. Pada tahun 1994, keluargaPrawirawidjaja (pemilik PT Ultrajaya Milk Industry – IDX: ULTJ) mengambil alih mayoritas saham perusahaan ini. Hingga kini, Perseroan yang memiliki kegiatan usaha utama yang bergerak dalam bidang industri pengolahan es krim. Perseroan berkantor pusat di Jl. Rungkut Industri II/ 15-17 Surabaya, RT. 002 RW. 006 Kel. Tenggilis Mejoyo Kec. Tenggilis Mejoyo, Surabaya dan memiliki pabrik di lokasi yang sama. Adapun perusahaan resmi listing di BEI pada tanggal 19 Desember 2017.",(031) 843-9232,,corsec@campina.co.id

135,CANI,Capitol Nusantara Indonesia Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION",Transportation,1,Kalimantan Timur,0541-732893/ 732897/ 731898/ 741921,Riduwan Kosasih // riduwan@cnigroup.co.id; riduwan@cani.co.id; riduwankosasih@yahoo.co.id // 021-29339369 ext. 111,www.cani.co.id,"Jl. Pangeran Suriansyah No. 30-34 Samarinda � 75113 Kalimantan Timur, Indonesia",-,PT. Adimitra Jasa Korpora,02.375.053.2-725.000,-,True,16 Jan 2014,0.0,"PT Capitol Nusantara Indonesia Tbk (IDX: CANI) adalah perusahaan yang memiliki kegiatan utama meliputi; pelayaran dalam negeri, jasa pelayaran dan pengangkutan, jasa keagenan kapal, jasa pengangkutan minyak dan gas dan jasa penyewaan kapal laut. Perusahaan didirikan pada tanggal 31 Agustus 2004 dan berkedudukan di Samarinda, Kalimantan Timur. Perusahaan resmi listing di BEI pada tanggal 16 Januari 2014 dan beralamat kantor di Jl. Pangeran Suriansyah No. 30-34 Samarinda – 75113 Kalimantan Timur.",0541 � 732891/ 738324,31 August 2004,office@cani.co.id

1138,CARE,Metro Healthcare Indonesia Tbk.,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,"TRADE, SERVICES, & INVESTMENT",Health Care,2,"Jl. Raya Serang Km 16,8 RT/RW 005/001, Kelurahan Sukamulya, Kecamatan Cikupa, Kabupaten Tangerang, 15710",+62 21 5964 7937,"dr. Dedi Tedjakusnadi, MARS // cs@metrohealthcareindonesia.co.id // +62 21 5964 7937",https://www.metrohealthcareindonesia.co.id/,-,-,PT. Sharestar Indonesia,80.466.308.6-011.000,-,True,13-Mar-2020,0.0,"PT Metro Healthcare Indonesia Tbk (IDX: CARE) didirikan dengan nama PT. Aruna Anjaya Perkasa pada tanggal 7 Oktober 2015. Perusahaan bergerak dalam bidang jasa konsultasi manajemen dan melakukan investasi pada Entitas Anak yang bergerak dibidang layanan kesehatan atau Rumah Sakit, yang tergabung dalam Metro Hospital Grup. Saat ini, Metro Hospital Group telah memiliki dan mengoperasikan 7 rumah sakit yang tersebar di beberapa daerah potensial, diantaranya; RS Metro Hospital Cikupa, RS Metro Hospital Cikarang, RS Mitra Husada Sidoarjo, RS Kartini Mojokerto, RS Bunda Sejahtera, RS Santo Yusuf, dan RS Bina Sehat Mandiri. Perusahaan resmi listing di BEI pada tanggal 13 Maret 2020 dan beralamat kantor di Jl. Raya Serang Km 16, 8 RT/RW 005/001, Kelurahan Sukamulya, Kecamatan Cikupa, Kabupaten Tangerang, 15710.",+62 21 5964 7871,2015,cs@metrohealthcareindonesia.co.id

971,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,"TRADE, SERVICES, & INVESTMENT",Wholesale (Durable & Non Durable Goods),2,"Sunburst CBD Lot II No. 3 BSD City, Kota Tangerang Selatan 15321",(+6221) 22356800,Benny Redjo Setyono | investor.relation@bintracodharma.com | (+6221) 22356800,www.bintracodharma.com,"Sunburst CBD Lot II No. 3BSD City, Kota Tangerang Selatan 15321",-,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.144.107.8-046.000,,True,10 Apr 2017,0.0,"PT Industri dan Perdagangan Bintraco Dharma Tbk (IDX: CARS) adalah perusahaan yang bergerak dalam bidang perdagangan otomotif, dealer resmi, dan layanan pembiayaan otomotif melalui anak perusahaan, dan konsultan manajemen. Saat ini, PT Trimegah Sekuritas Indonesia Tbk (IDX: TRIM) selaku pemegang saham pengendali (18, 01%). Perusahaan resmi listing di BEI pada tanggal 10 April 2017 dan beralamat kantor di Sunburst CBD Lot II No. 3 BSD City, Kota Tangerang Selatan 15321.",(+6221) 22356801,-,investor.relation@bintracodharma.com

949,CASA,Capital Financial Indonesia Tbk.,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,FINANCE,Others,2,Jakarta Selatan,(62) (21) 250 6280,Maliana H. Malkan,www.capitalfinancial.co.id,"Gedung Sona Topas Tower Lt. 9 Jl. Jendral Sudirman Kav. 26, Jakarta Selatan 12920",,PT. Sinartama Gunita,02.991.547.7-012.000,,True,19 Jul 2016,0.0," PT Capital Financial Indonesia Tbk (IDX: CASA) adalah perusahaan holding dan investasi yang bergerak dalam bidang jasa konsultasi manajemen. Perusahaan mulai beroperasi secara komersial pada tahun 2012. Salah satu anak usahanya, yaitu PT Bank Capital Indonesia Tbk (IDX: BACA). Perusahaan resmi listing di BEI pada tanggal 19 Juli 2016 dan beralamat kantor di Gedung Menara Jamsostek Menara Utara Lt. 5 Jl. Jend. Gatot Subroto No. 38 Mampang Prapatan.",62) (21) 250 6220,,corporate@capitalfinancial.co.id

1147,CASH,Cashlez Worldwide Indonesia Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,"TRADE, SERVICES, & INVESTMENT",Computer And Services,3,"Garden Shopping Avenue B/08/BA, Central Park Podomoro City, RT.15/RW.5 Tanjung Duren Selatan, Grogol Petamburan Jakarta Barat",(021) 29860750,Tisna Ayu Oktavianty // corsec@cashlez.com // (021) 29860750,http://www.cashlez.com/,-,-,PT. Sinartama Gunita,73.272.717.7-036.000,-,True,04-Mei-2020,0.0,"PT Cashlez Worldwide Indonesia Tbk (IDX: CASH) atau Cashlez, berdiri sejak 2015, merupakan perusahaan teknologi finansial pembayaran. Cashlez menciptakan sistem mPOS (mobile point of sale) yang dilengkapi dengan penerimaan pembayaran menggunakan kartu, baik kartu kredit atau kartu debit berbasis aplikasi pada smartphone (Android dan iOS) yang dihubungkan dengan card reader melalui bluetooth. Selain dapat menerima kartu, merchant dapat menerima metode pembayaran digital lainnya, seperti pembayaran QRIS, Cashlez‐ Link untuk pembayaran e‐commerce dan pembayaran Virtual Account. Saat ini, Cashlez telah membantu lebih dari 13. 000 pelaku usaha yang tersebar di seluruh Indonesia. Perusahaan resmi listing di BEI pada tanggal 04 Mei 2020 dan beralamat kantor di Garden Shopping Avenue B/08/BA, Central Park Podomoro City, RT. 15/RW. 5 Tanjung Duren Selatan, Grogol Petamburan Jakarta Barat 11470.",-,2015,corsec@cashlez.com

136,CASS,Cardig Aero Services Tbk.,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION","Toll Road, Airport, Harbor and Allied Products",2,Jakarta,(021) 8087 7676,J. Widianawati D. Adhiningrat // widianawati@pt-cas.com,www.pt-cas.com,"Menara Cardig, Lantai 3, Jl. Protokol Halim Perdanakusuma, Jakarta 13650 Indonesia.",-,PT. Datindo Entrycom,02.995.094.6-005.000,-,True,05 Des 2011,21.0," PT Cardig Aero Services Tbk (IDX: CASS) didirikan di tahun 2009, adalah perusahaan yang tergabung dalam CAS Group, yang bersama entitas anak, bergerak di bidang jasa dalam industri penerbangan, termasuk ground handling, pengurusan kargo, penyedia makanan dalam penerbangan, dan keamanan serta pemeliharaan pesawat terbang. Perusahaan resmi listing di BEI pada tanggal 05 Desember 2011 dan beralamat kantor di Menara Cardig, lantai 3, Jl. Raya Halim Perdanakusuma, Jakarta 13650.",(021) 8088 5001,16 July 2009,widianawati@pt-cas.com

1142,CBMF,Cahaya Bintang Medan Tbk.,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,CONSUMER GOODS INDUSTRY,Houseware,2,"Kp. Patumbak Jl. Pertahanan No. 111 Ds V Desa Patumbak Kab. Deli Serdang – Sumatera Utara, 20361",+6261 7852277,Felicia Kweesly // corsec@cbm-furniture.com // 061 7852277,https://cbm-furniture.com/,"Kp. Patumbak Jl. Pertahanan No. 111 Ds V Desa Patumbak Kab. Deli Serdang – Sumatera Utara, 20361",-,PT. Adimitra Jasa Korpora,31.481.993.9-125.000,-,True,09-Apr-2020,0.0,"PT Cahaya Bintang Medan Tbk (IDX: CBMF) adalah perusahaan swasta nasional yang berdiri pada 9 Februari 2012. Bergerak di bidang industry mebel, CBM Furniture memproduksi perkakas kantor dan rumah tangga dalam skala perdagangan besar dan eceran, industri pengolahan serta aktivitas jasa lainnya. Produk utama Perusahaan saat ini adalah mebel indoor dan outdoor untuk rumah dan kantor. Perusahaan memulai kegiatan komersilnya pada tahun 2013. Perusahaan resmi listing di BEI pada tanggal 09 April 2020 dan beralamat kantor di Kp. Patumbak Jl. Pertahanan No. 111 Ds V Desa Patumbak Kab. Deli Serdang – Sumatera Utara, 20361.",+6261 785226,09-Feb-2012,corsec@cbm-furniture.com

